"id","nume","diacritice","judet","auto","zip","populatie","lat","lng"
"1","Buftea","Buftea","Ilfov","IF","70000","19202","44.5629744","25.9388214"
"2","Buciumeni","Buciumeni","Ilfov","IF","70000","2976","44.5460939","25.9574846"
"3","Otopeni","Otopeni","Ilfov","IF","75100","12540","44.5671874","26.0835113"
"4","Odaile","Odăile","Ilfov","IF","75100","1321","44.5435944","26.0487028"
"5","1 Decembrie","1 Decembrie","Ilfov","IF","77005","7817","44.2862871","26.0540403"
"6","Copaceni","Copăceni","Ilfov","IF","77006","3131","44.2705494","26.0832726"
"7","Afumati","Afumaţi","Ilfov","IF","77010","7919","44.5189626","26.2396449"
"8","Balotesti","Baloteşti","Ilfov","IF","77015","6286","44.6224456","26.1102518"
"9","Dumbraveni","Dumbrăveni","Ilfov","IF","77015","519","44.6359645","26.1156689"
"10","Saftica","Săftica","Ilfov","IF","77015","1509","44.6277353","26.0684344"
"11","Berceni","Berceni","Ilfov","IF","77020","5942","44.3122991","26.1883996"
"12","Bragadiru","Bragadiru","Ilfov","IF","77025","15329","44.3815998","25.9956853"
"13","Branesti","Brăneşti","Ilfov","IF","77145","7305","44.45","26.333333"
"14","Islaz","Islaz","Ilfov","IF","77031","1609","44.461218","26.3883149"
"15","Pasarea","Pasărea","Ilfov","IF","77032","1325","44.471466","26.3220198"
"16","Vadu Anei","Vadu Anei","Ilfov","IF","77033","128","44.4228074","26.3541407"
"17","Cernica","Cernica","Ilfov","IF","77035","3136","44.4189725","26.2799064"
"18","Balaceanca","Bălăceanca","Ilfov","IF","77035","2865","44.3908015","26.2892126"
"19","Caldararu","Căldăraru","Ilfov","IF","77037","1176","44.4141479","26.259505"
"20","Posta","Poşta","Ilfov","IF","77038","599","44.3775772","26.3103375"
"21","Tanganu","Tânganu","Ilfov","IF","77039","3110","44.4029353","26.3148947"
"22","Chiajna","Chiajna","Ilfov","IF","77040","4511","44.4584095","25.9733521"
"23","Dudu","Dudu","Ilfov","IF","77041","1728","44.4553447","25.9859332"
"24","Rosu","Roşu","Ilfov","IF","77042","8020","44.4467658","26.0009209"
"25","Chitila","Chitila","Ilfov","IF","77045","12768","44.509892","25.9845856"
"26","Rudeni","Rudeni","Ilfov","IF","77046","1416","44.4749519","25.9661158"
"27","Ciolpani","Ciolpani","Ilfov","IF","77050","2828","44.72724","26.10957"
"28","Izvorani","Izvorani","Ilfov","IF","77051","641","44.6953456","26.1209458"
"29","Luparia","Lupăria","Ilfov","IF","77052","552","44.7418641","26.1233622"
"30","Piscu","Piscu","Ilfov","IF","77053","790","44.7357845","26.0722308"
"31","Ciorogarla","Ciorogârla","Ilfov","IF","77055","3919","44.4311114","25.8729598"
"32","Darvari","Dârvari","Ilfov","IF","77056","2269","44.4214748","25.8771951"
"33","Clinceni","Clinceni","Ilfov","IF","77025","4708","44.366667","25.95"
"34","Olteni","Olteni","Ilfov","IF","77061","1881","44.3975045","25.9606769"
"35","Ordoreanu","Ordoreanu","Ilfov","IF","77062","219","44.3638462","25.8968922"
"36","Corbeanca","Corbeanca","Ilfov","IF","77065","2475","44.6","26.05"
"37","Ostratu","Ostratu","Ilfov","IF","77066","1623","44.6053486","26.0133024"
"38","Petresti","Petreşti","Ilfov","IF","77067","943","44.6018428","26.0656046"
"39","Tamasi","Tamaşi","Ilfov","IF","77068","2031","44.5844623","26.0026884"
"40","Cornetu","Cornetu","Ilfov","IF","77070","6040","44.35","25.95"
"41","Buda","Buda","Ilfov","IF","77071","284","44.3318741","25.950137"
"42","Dascalu","Dascălu","Ilfov","IF","77075","2359","44.6012674","26.2266731"
"43","Creata","Creaţa","Ilfov","IF","77076","191","44.5985022","26.2730186"
"44","Gagu","Gagu","Ilfov","IF","77077","567","44.6146885","26.2575742"
"45","Runcu","Runcu","Ilfov","IF","77078","37","44.5848176","26.2055679"
"46","Darasti-Ilfov","Dărăşti-Ilfov","Ilfov","IF","77080","3026","44.3088894","26.0217985"
"47","Dobroesti","Dobroeşti","Ilfov","IF","77085","5274","44.4552302","26.1827514"
"48","Fundeni","Fundeni","Ilfov","IF","77085","4051","44.4636745","26.1734741"
"49","Domnesti","Domneşti","Ilfov","IF","77090","7910","44.4051433","25.9292699"
"50","Teghes","Ţegheş","Ilfov","IF","77090","772","44.3794128","25.8732336"
"51","Dragomiresti-Vale","Dragomireşti-Vale","Ilfov","IF","77095","1579","44.4623837","25.9266471"
"52","Dragomiresti-Deal","Dragomireşti-Deal","Ilfov","IF","77096","2669","44.4620815","25.9380207"
"53","Zurbaua","Zurbaua","Ilfov","IF","77097","995","44.4893401","25.9120123"
"54","Ganeasa","Găneasa","Ilfov","IF","77100","861","44.5","26.266667"
"55","Cozieni","Cozieni","Ilfov","IF","77100","832","44.4775167","26.3025365"
"56","Moara Domneasca","Moara Domnească","Ilfov","IF","77100","662","44.4936215","26.2547948"
"57","Piteasca","Piteasca","Ilfov","IF","77100","1341","44.4910513","26.3276841"
"58","Sindrilita","Şindriliţa","Ilfov","IF","77104","1267","44.5139396","26.3150385"
"59","Glina","Glina","Ilfov","IF","77105","5494","44.3897642","26.2335009"
"60","Catelu","Căţelu","Ilfov","IF","77106","2790","44.4044858","26.218726"
"61","Manolache","Manolache","Ilfov","IF","77105","308","44.4050135","26.2465853"
"62","Gradistea","Grădiştea","Ilfov","IF","77110","2096","44.6667","26.3"
"63","Sitaru","Sitaru","Ilfov","IF","77111","1172","44.6679292","26.3278866"
"64","Gruiu","Gruiu","Ilfov","IF","77115","1997","44.723724","26.2274634"
"65","Lipia","Lipia","Ilfov","IF","77116","2272","44.7097568","26.2589644"
"66","Silistea Snagovului","Siliştea Snagovului","Ilfov","IF","77117","2398","44.7417494","26.1743696"
"67","Santu-Floresti","Şanţu-Floreşti","Ilfov","IF","77118","745","44.7333487","26.2034869"
"68","Jilava","Jilava","Ilfov","IF","77120","12223","44.3369129","26.088055"
"69","Magurele","Măgurele","Ilfov","IF","77125","5760","44.361404","26.0381505"
"70","Alunisu","Alunişu","Ilfov","IF","77126","1610","44.3419928","26.0522099"
"71","Dumitrana","Dumitrana","Ilfov","IF","77127","816","44.3250775","26.0007334"
"72","Pruni","Pruni","Ilfov","IF","77128","214","44.3301184","25.9901281"
"73","Varteju","Vârteju","Ilfov","IF","77129","2641","44.3550094","25.9988803"
"74","Moara Vlasiei","Moara Vlăsiei","Ilfov","IF","77130","4411","44.639707","26.2213601"
"75","Caciulati","Căciulaţi","Ilfov","IF","77131","1896","44.628932","26.1695428"
"76","Mogosoaia","Mogoşoaia","Ilfov","IF","77135","7625","44.528596","25.9989277"
"77","Nuci","Nuci","Ilfov","IF","77140","616","44.716667","26.3"
"78","Balta Neagra","Balta Neagră","Ilfov","IF","77141","283","44.6974243","26.3038894"
"79","Merii Petchii","Merii Petchii","Ilfov","IF","77142","1010","44.7385545","26.3031687"
"80","Micsunesti-Moara","Micşuneşti-Moară","Ilfov","IF","77140","451","44.7014838","26.3276073"
"81","Micsunestii Mari","Micşuneştii Mari","Ilfov","IF","77144","738","44.6918335","26.3515578"
"82","Pantelimon","Pantelimon","Ilfov","IF","77145","25596","44.450951","26.2352115"
"83","Peris","Periş","Ilfov","IF","77150","5682","44.6779178","26.0352559"
"84","Balteni","Bălteni","Ilfov","IF","77151","484","44.7162588","26.0354809"
"85","Burias","Buriaş","Ilfov","IF","77152","1391","44.7341671","25.9823904"
"86","Petrachioaia","Petrăchioaia","Ilfov","IF","77155","2014","44.583333","26.316667"
"87","Maineasca","Măineasca","Ilfov","IF","77156","397","44.5757952","26.3448575"
"88","Surlari","Surlari","Ilfov","IF","77157","620","44.5733114","26.314894"
"89","Vanatori","Vânători","Ilfov","IF","77158","467","44.5902752","26.2963142"
"90","Popesti-Leordeni","Popeşti-Leordeni","Ilfov","IF","77160","21895","44.3788851","26.1876693"
"91","Snagov","Snagov","Ilfov","IF","77165","1763","44.708889","26.171389"
"92","Ciofliceni","Ciofliceni","Ilfov","IF","77166","1223","44.6818087","26.1155207"
"93","Tancabesti","Tâncăbeşti","Ilfov","IF","77167","1385","44.6809524","26.0734967"
"94","Vladiceasca","Vlădiceasca","Ilfov","IF","77168","341","44.668317","26.084651"
"95","Ghermanesti","Ghermăneşti","Ilfov","IF","77170","2560","44.6885253","26.1436999"
"96","Stefanestii de Jos","Ştefăneştii de Jos","Ilfov","IF","77175","2923","44.5284438","26.1961173"
"97","Cretuleasca","Creţuleasca","Ilfov","IF","77176","419","44.532758","26.1886175"
"98","Stefanestii de Sus","Ştefăneştii de Sus","Ilfov","IF","77177","2433","44.5284438","26.1961173"
"99","Tunari","Tunari","Ilfov","IF","77180","5007","44.546529","26.1375753"
"100","Dimieni","Dimieni","Ilfov","IF","77180","329","44.5882922","26.1335493"
"101","Vidra","Vidra","Ilfov","IF","77186","3872","44.266667","26.15"
"102","Cretesti","Creţeşti","Ilfov","IF","77186","2708","44.2791542","26.1383191"
"103","Sintesti","Sinteşti","Ilfov","IF","77187","2936","44.3061878","26.1182026"
"104","Voluntari","Voluntari","Ilfov","IF","77190","42944","44.5050832","26.1555435"
"105","Pipera (Voluntari)","Pipera (Voluntari)","Ilfov","IF","77191","42944","44.4977877","26.1249325"
"106","Bolintin-Vale","Bolintin-Vale","Giurgiu","GR","87015","8334","44.4474639","25.7646681"
"107","Crivina","Crivina","Giurgiu","GR","85101","872","44.4306651","25.7833209"
"108","Malu Spart","Malu Spart","Giurgiu","GR","85102","3200","44.4433426","25.7103399"
"109","Suseni","Suseni","Giurgiu","GR","85103","523","44.4504964","25.6959372"
"110","Mihailesti","Mihăileşti","Giurgiu","GR","85200","4947","44.3213976","25.9099083"
"111","Draganescu","Drăgănescu","Giurgiu","GR","85201","483","44.3438211","25.8832619"
"112","Novaci","Novaci","Giurgiu","GR","85202","1302","44.3006639","25.9749854"
"113","Popesti","Popeşti","Giurgiu","GR","85203","1191","44.3038668","25.9567871"
"114","Adunatii-Copaceni","Adunaţii-Copăceni","Giurgiu","GR","87005","3309","44.2579328","26.0495864"
"115","Darasti-Vlasca","Dărăşti-Vlaşca","Giurgiu","GR","87006","2177","44.2887554","26.0137759"
"116","Mogosesti","Mogoşeşti","Giurgiu","GR","87007","519","44.2400359","26.1077065"
"117","Varlaam","Varlaam","Giurgiu","GR","87008","616","44.2453986","26.0858024"
"118","Baneasa","Băneasa","Giurgiu","GR","87010","3231","44.0478047","26.0683623"
"119","Frasinu","Frasinu","Giurgiu","GR","87011","521","44.026155","26.0221228"
"120","Pietrele","Pietrele","Giurgiu","GR","87012","1180","44.0639746","26.117033"
"121","Sfantu Gheorghe (Baneasa)","Sfântu Gheorghe (Băneasa)","Giurgiu","GR","87013","3231","44.0164504","26.0319073"
"122","Bolintin-Deal","Bolintin-Deal","Giurgiu","GR","87015","3854","44.4487977","25.8202444"
"123","Mihai Voda","Mihai Vodă","Giurgiu","GR","87016","2067","44.4420568","25.8175996"
"124","Bucsani","Bucşani","Giurgiu","GR","87020","1090","44.3762164","25.6728054"
"125","Anghelesti","Angheleşti","Giurgiu","GR","87021","179","44.3382122","25.642074"
"126","Goleasca","Goleasca","Giurgiu","GR","87022","492","44.3544775","25.5844317"
"127","Obedeni","Obedeni","Giurgiu","GR","87023","347","44.3509219","25.6504243"
"128","Podisor","Podişor","Giurgiu","GR","87024","572","44.3888081","25.7148719"
"129","Uiesti","Uieşti","Giurgiu","GR","87026","405","44.3571997","25.6140239"
"130","Vadu Lat","Vadu Lat","Giurgiu","GR","87027","821","44.3483975","25.6711495"
"131","Bulbucata","Bulbucata","Giurgiu","GR","87030","982","44.2751875","25.8070812"
"132","Coteni","Coteni","Giurgiu","GR","87031","6","44.3119184","25.8300744"
"133","Facau","Făcău","Giurgiu","GR","87032","160","44.2929208","25.8300415"
"134","Teisori","Teişori","Giurgiu","GR","87033","443","44.2962354","25.8061971"
"135","Buturugeni","Buturugeni","Giurgiu","GR","87035","1975","44.3666841","25.8395805"
"136","Padureni","Pădureni","Giurgiu","GR","87036","1652","44.341725","25.8057417"
"137","Podu Ilfovatului","Podu Ilfovăţului","Giurgiu","GR","87037","33","44.3200622","25.8166894"
"138","Posta","Poşta","Giurgiu","GR","87038","419","44.3505316","25.8733092"
"139","Calugareni","Călugăreni","Giurgiu","GR","87040","1472","44.1834954","25.9981703"
"140","Branistari","Brăniştari","Giurgiu","GR","87041","945","44.181493","26.0465077"
"141","Crucea de Piatra","Crucea de Piatră","Giurgiu","GR","87042","414","44.1583975","26.0007402"
"142","Hulubesti","Hulubeşti","Giurgiu","GR","87043","1751","44.1659973","25.9444057"
"143","Uzunu","Uzunu","Giurgiu","GR","87044","1566","44.1419808","25.9827933"
"144","Clejani","Clejani","Giurgiu","GR","87045","2032","44.315266","25.7222339"
"145","Neajlovu","Neajlovu","Giurgiu","GR","87046","","44.313823","25.7536589"
"146","Podu Doamnei","Podu Doamnei","Giurgiu","GR","87047","681","44.3065531","25.7456785"
"147","Sterea","Sterea","Giurgiu","GR","87048","378","44.3230884","25.7355659"
"148","Colibasi","Colibaşi","Giurgiu","GR","87050","2127","44.2214483","26.188454"
"149","Campurelu","Câmpurelu","Giurgiu","GR","87051","1402","44.2351691","26.182528"
"150","Comana","Comana","Giurgiu","GR","87055","2113","44.1740653","26.1418766"
"151","Budeni","Budeni","Giurgiu","GR","87056","864","44.1897846","26.1127255"
"152","Falastoaca","Falaştoaca","Giurgiu","GR","87057","980","44.1945171","26.1833137"
"153","Gradistea","Grădiştea","Giurgiu","GR","87058","1515","44.2128366","26.1586287"
"154","Vlad Tepes","Vlad Ţepeş","Giurgiu","GR","87059","1750","44.1351642","26.1308042"
"155","Crevedia Mare","Crevedia Mare","Giurgiu","GR","87060","1672","44.4303526","25.6263025"
"156","Crevedia Mica","Crevedia Mică","Giurgiu","GR","87061","988","44.4429926","25.6094477"
"157","Dealu","Dealu","Giurgiu","GR","87062","1423","44.4005959","25.6479569"
"158","Gaiseanca","Găiseanca","Giurgiu","GR","87063","521","44.4563858","25.5894415"
"159","Priboiu","Priboiu","Giurgiu","GR","87064","154","44.4475725","25.5877597"
"160","Sfantu Gheorghe (Crevedia Mare)","Sfântu Gheorghe (Crevedia Mare)","Giurgiu","GR","87066","1672","44.4351294","25.5961161"
"161","Daia","Daia","Giurgiu","GR","87070","1034","43.9872235","25.9918134"
"162","Plopsoru","Plopşoru","Giurgiu","GR","87071","1817","44.012977","25.9861477"
"163","Floresti-Stoenesti","Floreşti-Stoeneşti","Giurgiu","GR","87075","4290","44.516667","25.7"
"164","Floresti","Floreşti","Giurgiu","GR","87076","4290","44.5104178","25.6974445"
"165","Palanca","Palanca","Giurgiu","GR","87077","2775","44.4743213","25.7246938"
"166","Stoenesti (Floresti-Stoenesti)","Stoeneşti (Floreşti-Stoeneşti)","Giurgiu","GR","87078","1805","44.4883705","25.7072261"
"167","Fratesti","Frăteşti","Giurgiu","GR","87080","2549","43.9908411","25.9318833"
"168","Cetatea","Cetatea","Giurgiu","GR","87081","792","43.9486148","25.9503313"
"169","Remus","Remuş","Giurgiu","GR","87082","2020","43.9478662","25.9784171"
"170","Gaiseni","Găiseni","Giurgiu","GR","87085","2229","44.5132726","25.6343203"
"171","Carpenisu","Cărpenişu","Giurgiu","GR","87086","964","44.5351937","25.6301824"
"172","Cascioarele (Gaiseni)","Căscioarele (Găiseni)","Giurgiu","GR","87087","233","44.4996271","25.6347739"
"173","Podu Popa Nae","Podu Popa Nae","Giurgiu","GR","87088","202","44.5189985","25.607871"
"174","Gaujani","Găujani","Giurgiu","GR","87090","1278","43.7547562","25.7032726"
"175","Cetatuia","Cetăţuia","Giurgiu","GR","87091","220","43.755788","25.7442348"
"176","Pietrisu","Pietrişu","Giurgiu","GR","87092","1015","43.726035","25.6718139"
"177","Ghimpati","Ghimpaţi","Giurgiu","GR","87095","2527","44.1678743","25.7650381"
"178","Copaciu","Copaciu","Giurgiu","GR","87096","1013","44.1800456","25.7652447"
"179","Naipu","Naipu","Giurgiu","GR","87097","1863","44.1544774","25.7597973"
"180","Valea Plopilor","Valea Plopilor","Giurgiu","GR","87098","661","44.2410598","25.8165247"
"181","Gogosari","Gogoşari","Giurgiu","GR","87100","900","43.8680859","25.6752665"
"182","Draghiceanu","Drăghiceanu","Giurgiu","GR","87101","155","43.8640145","25.6770689"
"183","Izvoru (Gogosari)","Izvoru (Gogoşari)","Giurgiu","GR","87102","860","43.8885786","25.6606522"
"184","Ralesti","Răleşti","Giurgiu","GR","87103","193","43.8551288","25.6837694"
"185","Gostinari","Gostinari","Giurgiu","GR","87105","2068","44.1866629","26.2202302"
"186","Mironesti","Mironeşti","Giurgiu","GR","87106","566","44.1716802","26.2462374"
"187","Gostinu","Gostinu","Giurgiu","GR","87110","2032","43.9965157","26.1184158"
"188","Gradinari","Grădinari","Giurgiu","GR","87115","1086","44.3973627","25.8092406"
"189","Tantava","Tântava","Giurgiu","GR","87116","1366","44.4157679","25.8275252"
"190","Zorile","Zorile","Giurgiu","GR","87117","1126","44.3777819","25.8038541"
"191","Greaca","Greaca","Giurgiu","GR","87120","1831","44.1102883","26.3312122"
"192","Putu Greci","Puţu Greci","Giurgiu","GR","87121","369","44.1409151","26.346006"
"193","Zboiu","Zboiu","Giurgiu","GR","87122","343","44.1258711","26.3077938"
"194","Hotarele","Hotarele","Giurgiu","GR","87125","3939","44.1778868","26.3748815"
"195","Herasti","Herăşti","Giurgiu","GR","87126","2115","44.2163065","26.3584504"
"196","Isvoarele","Isvoarele","Giurgiu","GR","87127","1489","44.150528","26.2972159"
"197","Milosesti","Miloşeşti","Giurgiu","GR","87128","254","44.2110588","26.3746788"
"198","Teiusu","Teiuşu","Giurgiu","GR","87129","262","44.167017","26.2775692"
"199","Iepuresti","Iepureşti","Giurgiu","GR","87130","1032","44.2542603","25.8833948"
"200","Banesti","Băneşti","Giurgiu","GR","87131","94","44.274465","25.8885107"
"201","Chirculesti","Chirculeşti","Giurgiu","GR","87132","74","44.2651142","25.9219794"
"202","Gorneni","Gorneni","Giurgiu","GR","87133","624","44.282595","25.8625612"
"203","Stalpu","Stâlpu","Giurgiu","GR","87134","291","44.2682489","25.8534827"
"204","Valter Maracineanu","Valter Mărăcineanu","Giurgiu","GR","87136","110","44.2350415","25.8666767"
"205","Izvoarele","Izvoarele","Giurgiu","GR","87140","1323","43.9942886","25.7970218"
"206","Chiriacu","Chiriacu","Giurgiu","GR","87141","1419","44.0500299","25.7780257"
"207","Dimitrie Cantemir","Dimitrie Cantemir","Giurgiu","GR","87142","212","44.0261519","25.8163462"
"208","Petru Rares","Petru Rareş","Giurgiu","GR","87143","160","44.0989346","25.7926524"
"209","Radu Voda","Radu Vodă","Giurgiu","GR","87144","259","44.0052381","25.8172071"
"210","Valea Bujorului","Valea Bujorului","Giurgiu","GR","87146","557","44.0769981","25.8329317"
"211","Joita","Joiţa","Giurgiu","GR","87150","2164","44.4955737","25.8558454"
"212","Bacu","Bâcu","Giurgiu","GR","87151","1700","44.4782931","25.8915588"
"213","Cosoba","Cosoba","Giurgiu","GR","87152","2611","44.525405","25.8089449"
"214","Sabareni","Săbăreni","Giurgiu","GR","87153","2864","44.507397","25.8731432"
"215","Letca Noua","Letca Nouă","Giurgiu","GR","87155","1109","44.2335644","25.7360164"
"216","Letca Veche","Letca Veche","Giurgiu","GR","87156","1171","44.1980961","25.6902956"
"217","Milcovatu","Milcovăţu","Giurgiu","GR","87157","1537","44.2642463","25.7000813"
"218","Marsa","Mârşa","Giurgiu","GR","87160","2742","44.365091","25.565693"
"219","Mihai Bravu","Mihai Bravu","Giurgiu","GR","87165","2586","44.1386034","26.0567838"
"220","Ogrezeni","Ogrezeni","Giurgiu","GR","87170","3949","44.4116847","25.7804779"
"221","Hobaia","Hobaia","Giurgiu","GR","87171","957","44.3893455","25.7763197"
"222","Oinacu","Oinacu","Giurgiu","GR","87175","1758","43.9448258","26.0408155"
"223","Branistea","Braniştea","Giurgiu","GR","87176","1006","43.9664675","26.0369638"
"224","Comasca","Comasca","Giurgiu","GR","87177","593","43.9493607","26.0471747"
"225","Prundu","Prundu","Giurgiu","GR","87180","3549","44.0571215","26.2592475"
"226","Puieni","Puieni","Giurgiu","GR","87181","837","44.0767316","26.189514"
"227","Putineiu","Putineiu","Giurgiu","GR","87185","1332","43.9311628","25.7360404"
"228","Hodivoaia","Hodivoaia","Giurgiu","GR","87186","434","43.9015226","25.7934613"
"229","Vieru","Vieru","Giurgiu","GR","87187","720","43.8877956","25.8050427"
"230","Rasuceni","Răsuceni","Giurgiu","GR","87190","1404","44.0903888","25.6711532"
"231","Carapancea","Carapancea","Giurgiu","GR","87191","99","44.1008559","25.71384"
"232","Cucuruzu","Cucuruzu","Giurgiu","GR","87192","1031","44.076906","25.7272144"
"233","Satu Nou","Satu Nou","Giurgiu","GR","87193","118","44.0615596","25.6338692"
"234","Roata de Jos","Roata de Jos","Giurgiu","GR","87195","2476","44.4065433","25.5359618"
"235","Cartojani","Cartojani","Giurgiu","GR","87196","3724","44.432022","25.4909035"
"236","Roata Mica","Roata Mică","Giurgiu","GR","87197","545","44.4006702","25.5554069"
"237","Sadina","Sadina","Giurgiu","GR","87198","1551","44.4199086","25.5159621"
"238","Schitu","Schitu","Giurgiu","GR","87200","293","44.13394","25.8246026"
"239","Bila","Bila","Giurgiu","GR","87201","512","44.1604294","25.8464138"
"240","Camineasca","Cămineasca","Giurgiu","GR","87202","608","44.166472","25.8214416"
"241","Vlasin","Vlaşin","Giurgiu","GR","87203","572","44.0992085","25.862156"
"242","Singureni","Singureni","Giurgiu","GR","87205","1546","44.2229167","25.941849"
"243","Cranguri","Crânguri","Giurgiu","GR","87206","852","44.2049564","25.9804287"
"244","Stejaru","Stejaru","Giurgiu","GR","87207","793","44.2509444","25.9323789"
"245","Slobozia","Slobozia","Giurgiu","GR","87210","2377","43.8583495","25.9065998"
"246","Stanesti","Stăneşti","Giurgiu","GR","87215","1433","43.9387027","25.865863"
"247","Balanu","Bălanu","Giurgiu","GR","87216","564","43.919856","25.9185016"
"248","Ghizdaru","Ghizdaru","Giurgiu","GR","87217","563","43.9308597","25.8831724"
"249","Oncesti","Onceşti","Giurgiu","GR","87218","440","43.9577898","25.8824729"
"250","Stoenesti","Stoeneşti","Giurgiu","GR","87220","1805","44.1376789","25.8898644"
"251","Ianculesti","Ianculeşti","Giurgiu","GR","87221","267","44.1401398","25.9250338"
"252","Mirau","Mirău","Giurgiu","GR","87222","177","44.1409954","25.8661048"
"253","Toporu","Toporu","Giurgiu","GR","87225","1491","44.0165934","25.6538271"
"254","Tomulesti","Tomuleşti","Giurgiu","GR","87226","849","43.9792561","25.6370731"
"255","Ulmi","Ulmi","Giurgiu","GR","87230","1177","44.4989656","25.7756198"
"256","Cascioarele (Ulmi)","Căscioarele (Ulmi)","Giurgiu","GR","87231","233","44.5191373","25.7456057"
"257","Draganeasca","Drăgăneasca","Giurgiu","GR","87232","601","44.5304795","25.7419902"
"258","Ghionea","Ghionea","Giurgiu","GR","87233","596","44.4826904","25.799675"
"259","Icoana","Icoana","Giurgiu","GR","87234","1119","44.4854071","25.7450739"
"260","Mosteni","Moşteni","Giurgiu","GR","87236","460","44.1742096","25.9408144"
"261","Poenari","Poenari","Giurgiu","GR","87237","1024","44.4732073","25.7701411"
"262","Trestieni","Trestieni","Giurgiu","GR","87238","2608","44.5102753","25.7593712"
"263","Valea Dragului","Valea Dragului","Giurgiu","GR","87240","3230","44.2074248","26.2951445"
"264","Varasti","Vărăşti","Giurgiu","GR","87245","3908","44.2407092","26.2696557"
"265","Dobreni","Dobreni","Giurgiu","GR","87246","2409","44.253387","26.2082339"
"266","Vanatorii Mici","Vânătorii Mici","Giurgiu","GR","87250","847","44.4904262","25.5602004"
"267","Corbeanca","Corbeanca","Giurgiu","GR","87251","367","44.4759721","25.5666586"
"268","Cupele","Cupele","Giurgiu","GR","87252","502","44.5034495","25.5262786"
"269","Izvoru (Vanatorii Mici)","Izvoru (Vânătorii Mici)","Giurgiu","GR","87253","860","44.5127129","25.5389944"
"270","Poiana lui Stanga","Poiana lui Stângă","Giurgiu","GR","87254","748","44.5089374","25.5856531"
"271","Valcelele","Vâlcelele","Giurgiu","GR","87256","","44.4673387","25.5719187"
"272","Vanatorii Mari","Vânătorii Mari","Giurgiu","GR","87257","1225","44.4895559","25.538116"
"273","Zadariciu","Zădăriciu","Giurgiu","GR","87258","218","44.4736515","25.5789283"
"274","Vedea","Vedea","Giurgiu","GR","87260","3108","43.7809092","25.785655"
"275","Malu","Malu","Giurgiu","GR","87261","2376","43.8214124","25.8286785"
"276","Azuga","Azuga","Prahova","PH","105100","4440","45.4450965","25.5700368"
"277","Baicoi","Băicoi","Prahova","PH","105200","11047","45.0340198","25.879006"
"278","Dambu","Dâmbu","Prahova","PH","105201","","45.0455104","25.8881859"
"279","Liliesti","Lilieşti","Prahova","PH","105202","3438","45.0340198","25.879006"
"280","Schela","Schela","Prahova","PH","105203","438","45.033051","25.8367014"
"281","Tufeni","Tufeni","Prahova","PH","105200","930","45.0606817","25.835884"
"282","Tintea","Ţintea","Prahova","PH","105200","1396","45.0331044","25.9135987"
"283","Boldesti-Scaeni","Boldeşti-Scăeni","Prahova","PH","105300","10105","45.0203382","26.0274723"
"284","Seciu","Seciu","Prahova","PH","105301","1032","45.0323928","26.0649481"
"285","Breaza","Breaza","Prahova","PH","105400","","45.187222","25.662222"
"286","Breaza de Jos","Breaza de Jos","Prahova","PH","105400","4292","45.1719817","25.6694364"
"287","Breaza de Sus","Breaza de Sus","Prahova","PH","105402","6068","45.1903148","25.6555351"
"288","Frasinet","Frăsinet","Prahova","PH","105406","509","45.195991","25.6787267"
"289","Gura Beliei","Gura Beliei","Prahova","PH","105404","935","45.2141183","25.6448983"
"290","Irimesti","Irimeşti","Prahova","PH","105405","32","45.1528102","25.6608568"
"291","Nistoresti","Nistoreşti","Prahova","PH","105406","832","45.2067019","25.6653688"
"292","Podu Corbului","Podu Corbului","Prahova","PH","105407","309","45.2166442","25.6552086"
"293","Podu Vadului","Podu Vadului","Prahova","PH","105408","1598","45.1514861","25.6871484"
"294","Surdesti","Surdeşti","Prahova","PH","105409","112","45.1870043","25.619863"
"295","Valea Tarsei","Valea Târsei","Prahova","PH","105410","1241","45.1823289","25.6419569"
"296","Busteni","Buşteni","Prahova","PH","105500","6376","45.4097148","25.5342236"
"297","Poiana Tapului","Poiana Ţapului","Prahova","PH","105550","2518","45.3809651","25.5442904"
"298","Campina","Câmpina","Prahova","PH","105600","32935","45.1369957","25.742141"
"299","Comarnic","Comarnic","Prahova","PH","105700","3667","45.2488709","25.6408029"
"300","Ghiosesti","Ghioşeşti","Prahova","PH","105701","3119","45.2438113","25.6201723"
"301","Podu Lung","Podu Lung","Prahova","PH","105702","570","45.2270816","25.6534052"
"302","Poiana","Poiana","Prahova","PH","105703","3255","45.2335929","25.641912"
"303","Posada","Posada","Prahova","PH","105704","1359","45.2631624","25.6229581"
"304","Mizil","Mizil","Prahova","PH","105800","13864","44.9981642","26.441765"
"305","Fefelei","Fefelei","Prahova","PH","105801","448","45.0144592","26.4390666"
"306","Plopeni","Plopeni","Prahova","PH","105900","1590","45.0650725","25.9822141"
"307","Sinaia","Sinaia","Prahova","PH","106100","10410","45.3310429","25.5623504"
"308","Slanic","Slănic","Prahova","PH","106200","2918","45.2275045","25.9365314"
"309","Grosani","Groşani","Prahova","PH","106201","1914","45.2507311","25.9492162"
"310","Prajani","Prăjani","Prahova","PH","106202","1202","45.2056875","25.9489964"
"311","Urlati","Urlaţi","Prahova","PH","106300","6856","44.9894922","26.2346217"
"312","Arionestii Noi","Arioneştii Noi","Prahova","PH","106301","243","44.994118","26.2183754"
"313","Arionestii Vechi","Arioneştii Vechi","Prahova","PH","106302","344","44.98853","26.2207955"
